"id";"food_category";"name";"water";"calories";"protein";"total_fat";"sfa";"mufa";"pufa";"cholesterol";"carbs";"sugar";"ash";"dietary_fiber";"calcium";"iron";"magnesium";"phosphorus";"potassium";"sodium";"zinc";"copper";"selenium";"edible_fraction";"vitamin_c";"thiamine";"riboflavin";"niacin";"vitamin_b5";"vitamin_b6";"folic_acid";"folate";"food_based_folate";"vitamin_b12";"vitamin_a";"retinol";"carotenoids";"vitamin_e";"vitamin_d";"vitamin_k";"priceTierId";"imageId";"editedById";"isEdited";"can_be_a_dish";"is_gluten_free";"is_lacto_vegetarian";"is_ovo_lacto_vegetarian";"is_ovo_vegetarian";"is_vegan";"has_eggs";"has_gluten";"has_honey";"has_meat";"has_milk"
9068;9;LENTEJA, GRANO SECO, COCIDO S/SAL;70.00;116.00;9.02;0.38;0.05;0.06;0.18;0.00;20.13;1.80;7.90;0.83;19.00;3.33;36.00;180.00;369.00;2.00;1.27;0.25;2.80;1.00;2.00;0.17;0.07;1.06;0.64;0.18;0.00;181.00;181.00;0.00;0.00;0.00;5.00;0.11;0.00;1.70;;;;false;;;;;;;;;;;
9029;9;LENTEJA, GRANO SECO, GRANO CRUDO;8.00;352.00;24.63;1.06;0.15;0.19;0.53;0.00;63.35;2.03;10.70;2.71;35.00;6.51;47.00;281.00;677.00;6.00;3.27;0.75;0.10;1.00;5.00;0.87;0.21;2.61;2.14;0.54;0.00;479.00;479.00;0.00;2.00;0.00;23.00;0.49;0.00;5.00;;;;false;;;;;;;;;;;
9030;9;LENTEJA, GRANO SECO, HARINA;10.00;349.00;24.30;1.40;;;;;62.10;;3.20;2.20;69.00;7.20;;362.00;;;;;;1.00;0.00;0.47;0.34;2.40;;;;;;;3.00;;;;;;;;;false;;;;;;;;;;;
9069;9;TEMPEH - ELABORADO DE SOYA FERMENTADA;60.00;192.00;20.29;10.80;2.54;3.21;4.30;0.00;7.64;;;1.62;111.00;2.70;81.00;266.00;412.00;9.00;1.14;0.56;0.00;1.00;0.00;0.08;0.36;2.64;0.28;0.22;0.00;24.00;24.00;0.08;0.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10034;10;AJONJOLI, PASTA (TAHINI);2.00;586.00;18.08;50.87;7.12;19.21;22.30;0.00;24.05;;5.50;5.40;960.00;19.20;362.00;659.00;582.00;12.00;7.29;4.21;35.50;1.00;0.00;0.24;0.20;6.70;0.05;0.82;0.00;100.00;100.00;0.00;3.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10036;10;ALMENDRA, PASTA;14.00;458.00;9.00;27.74;2.63;18.01;5.82;0.00;47.81;36.25;4.80;1.37;172.00;1.60;130.00;258.00;314.00;9.00;1.48;0.45;4.20;1.00;0.00;0.08;0.41;1.42;0.11;0.04;0.00;73.00;73.00;0.00;0.00;0.00;0.00;13.54;0.00;0.00;;;;false;;;;;;;;;;;
10001;10;ALMENDRA, SECA;4.00;579.00;21.15;49.93;3.80;31.55;12.33;0.00;21.55;4.35;12.50;2.97;269.00;3.71;270.00;481.00;733.00;1.00;3.12;1.03;4.10;0.40;0.00;0.21;1.14;3.62;0.47;0.14;0.00;44.00;44.00;0.00;0.00;0.00;1.00;25.63;0.00;0.00;;;;false;;;;;;;;;;;
10035;10;ALMENDRA, SECA TOSTADA, C/SAL;2.00;598.00;20.96;52.54;4.09;33.08;12.96;0.00;21.01;4.86;10.90;3.07;268.00;3.73;279.00;471.00;713.00;498.00;3.31;1.10;2.00;1.00;0.00;0.08;1.20;3.64;0.32;0.14;0.00;55.00;55.00;0.00;0.00;0.00;1.00;23.90;0.00;0.00;;;;false;;;;;;;;;;;
10002;10;ALMENDRA, SECA TOSTADA, S/SAL;2.00;598.00;20.96;52.54;4.09;33.08;12.96;0.00;21.01;4.86;10.90;3.07;268.00;3.73;279.00;471.00;713.00;3.00;3.31;1.10;2.00;1.00;0.00;0.08;1.20;3.64;0.32;0.14;0.00;55.00;55.00;0.00;0.00;0.00;1.00;23.90;0.00;0.00;;;;false;;;;;;;;;;;
12111;12;PALMA AFRICANA, FRUTO DE;28.00;537.00;1.60;59.00;;;;;10.50;;2.70;0.90;98.00;4.00;;44.00;;;;;;0.34;9.00;0.25;0.12;1.30;;;;;;;5529.00;;;;;;;;;false;;;;;;;;;;;
